Run,Model,True_Label,Predicted_Label,Count
4,MobileNet (Mel),Cendet,Tekukur,0
4,MobileNet (Mel),Cendet,Trucukan,0
4,MobileNet (Mel),Gereja,Cendet,0
4,MobileNet (Mel),Gereja,Gereja,12
4,MobileNet (Mel),Gereja,Kutilang,1
4,MobileNet (Mel),Gereja,Perkutut,0
4,MobileNet (Mel),Gereja,Tekukur,0
4,MobileNet (Mel),Gereja,Trucukan,0
4,MobileNet (Mel),Kutilang,Cendet,0
4,MobileNet (Mel),Kutilang,Gereja,0
4,MobileNet (Mel),Kutilang,Kutilang,30
4,MobileNet (Mel),Kutilang,Perkutut,0
4,MobileNet (Mel),Kutilang,Tekukur,0
4,MobileNet (Mel),Kutilang,Trucukan,0
4,MobileNet (Mel),Perkutut,Cendet,0
4,MobileNet (Mel),Perkutut,Gereja,0
4,MobileNet (Mel),Perkutut,Kutilang,1
4,MobileNet (Mel),Perkutut,Perkutut,14
4,MobileNet (Mel),Perkutut,Tekukur,1
4,MobileNet (Mel),Perkutut,Trucukan,0
4,MobileNet (Mel),Tekukur,Cendet,0
4,MobileNet (Mel),Tekukur,Gereja,0
4,MobileNet (Mel),Tekukur,Kutilang,0
4,MobileNet (Mel),Tekukur,Perkutut,1
4,MobileNet (Mel),Tekukur,Tekukur,13
4,MobileNet (Mel),Tekukur,Trucukan,1
4,MobileNet (Mel),Trucukan,Cendet,0
4,MobileNet (Mel),Trucukan,Gereja,0
4,MobileNet (Mel),Trucukan,Kutilang,4
4,MobileNet (Mel),Trucukan,Perkutut,0
4,MobileNet (Mel),Trucukan,Tekukur,0
4,MobileNet (Mel),Trucukan,Trucukan,15
4,MobileNet (MFCC),Cendet,Cendet,18
4,MobileNet (MFCC),Cendet,Gereja,0
4,MobileNet (MFCC),Cendet,Kutilang,1
4,MobileNet (MFCC),Cendet,Perkutut,0
4,MobileNet (MFCC),Cendet,Tekukur,0
4,MobileNet (MFCC),Cendet,Trucukan,0
4,MobileNet (MFCC),Gereja,Cendet,0
4,MobileNet (MFCC),Gereja,Gereja,12
4,MobileNet (MFCC),Gereja,Kutilang,0
4,MobileNet (MFCC),Gereja,Perkutut,1
4,MobileNet (MFCC),Gereja,Tekukur,0
4,MobileNet (MFCC),Gereja,Trucukan,0
4,MobileNet (MFCC),Kutilang,Cendet,0
4,MobileNet (MFCC),Kutilang,Gereja,0
4,MobileNet (MFCC),Kutilang,Kutilang,30
4,MobileNet (MFCC),Kutilang,Perkutut,0
4,MobileNet (MFCC),Kutilang,Tekukur,0
4,MobileNet (MFCC),Kutilang,Trucukan,0
4,MobileNet (MFCC),Perkutut,Cendet,0
4,MobileNet (MFCC),Perkutut,Gereja,0
4,MobileNet (MFCC),Perkutut,Kutilang,0
4,MobileNet (MFCC),Perkutut,Perkutut,14
4,MobileNet (MFCC),Perkutut,Tekukur,1
4,MobileNet (MFCC),Perkutut,Trucukan,1
4,MobileNet (MFCC),Tekukur,Cendet,0
4,MobileNet (MFCC),Tekukur,Gereja,0
4,MobileNet (MFCC),Tekukur,Kutilang,0
4,MobileNet (MFCC),Tekukur,Perkutut,0
4,MobileNet (MFCC),Tekukur,Tekukur,15
4,MobileNet (MFCC),Tekukur,Trucukan,0
4,MobileNet (MFCC),Trucukan,Cendet,0
4,MobileNet (MFCC),Trucukan,Gereja,0
4,MobileNet (MFCC),Trucukan,Kutilang,3
4,MobileNet (MFCC),Trucukan,Perkutut,0
4,MobileNet (MFCC),Trucukan,Tekukur,0
4,MobileNet (MFCC),Trucukan,Trucukan,16
5,MobileNet (Mel),Cendet,Cendet,18
5,MobileNet (Mel),Cendet,Gereja,1
5,MobileNet (Mel),Cendet,Kutilang,0
5,MobileNet (Mel),Cendet,Perkutut,0
5,MobileNet (Mel),Cendet,Tekukur,0
5,MobileNet (Mel),Cendet,Trucukan,0
5,MobileNet (Mel),Gereja,Cendet,0
5,MobileNet (Mel),Gereja,Gereja,12
5,MobileNet (Mel),Gereja,Kutilang,0
5,MobileNet (Mel),Gereja,Perkutut,0
5,MobileNet (Mel),Gereja,Tekukur,1
5,MobileNet (Mel),Gereja,Trucukan,0
5,MobileNet (Mel),Kutilang,Cendet,1
5,MobileNet (Mel),Kutilang,Gereja,0
5,MobileNet (Mel),Kutilang,Kutilang,28
5,MobileNet (Mel),Kutilang,Perkutut,0
5,MobileNet (Mel),Kutilang,Tekukur,0
5,MobileNet (Mel),Kutilang,Trucukan,1
5,MobileNet (Mel),Perkutut,Cendet,0
5,MobileNet (Mel),Perkutut,Gereja,0
5,MobileNet (Mel),Perkutut,Kutilang,0
5,MobileNet (Mel),Perkutut,Perkutut,16
5,MobileNet (Mel),Perkutut,Tekukur,0
5,MobileNet (Mel),Perkutut,Trucukan,0
5,MobileNet (Mel),Tekukur,Cendet,0
5,MobileNet (Mel),Tekukur,Gereja,1
5,MobileNet (Mel),Tekukur,Kutilang,0
5,MobileNet (Mel),Tekukur,Perkutut,1
5,MobileNet (Mel),Tekukur,Tekukur,12
5,MobileNet (Mel),Tekukur,Trucukan,1
5,MobileNet (Mel),Trucukan,Cendet,0
5,MobileNet (Mel),Trucukan,Gereja,0
5,MobileNet (Mel),Trucukan,Kutilang,1
5,MobileNet (Mel),Trucukan,Perkutut,0
5,MobileNet (Mel),Trucukan,Tekukur,0
5,MobileNet (Mel),Trucukan,Trucukan,18
5,MobileNet (MFCC),Cendet,Cendet,18
5,MobileNet (MFCC),Cendet,Gereja,1
5,MobileNet (MFCC),Cendet,Kutilang,0
5,MobileNet (MFCC),Cendet,Perkutut,0
5,MobileNet (MFCC),Cendet,Tekukur,0
5,MobileNet (MFCC),Cendet,Trucukan,0
5,MobileNet (MFCC),Gereja,Cendet,1
5,MobileNet (MFCC),Gereja,Gereja,12
5,MobileNet (MFCC),Gereja,Kutilang,0
5,MobileNet (MFCC),Gereja,Perkutut,0
5,MobileNet (MFCC),Gereja,Tekukur,0
5,MobileNet (MFCC),Gereja,Trucukan,0
5,MobileNet (MFCC),Kutilang,Cendet,0
5,MobileNet (MFCC),Kutilang,Gereja,0
5,MobileNet (MFCC),Kutilang,Kutilang,30
5,MobileNet (MFCC),Kutilang,Perkutut,0
5,MobileNet (MFCC),Kutilang,Tekukur,0
5,MobileNet (MFCC),Kutilang,Trucukan,0
5,MobileNet (MFCC),Perkutut,Cendet,0
5,MobileNet (MFCC),Perkutut,Gereja,0
5,MobileNet (MFCC),Perkutut,Kutilang,1
5,MobileNet (MFCC),Perkutut,Perkutut,14
5,MobileNet (MFCC),Perkutut,Tekukur,1
5,MobileNet (MFCC),Perkutut,Trucukan,0
5,MobileNet (MFCC),Tekukur,Cendet,0
5,MobileNet (MFCC),Tekukur,Gereja,3
5,MobileNet (MFCC),Tekukur,Kutilang,0
5,MobileNet (MFCC),Tekukur,Perkutut,0
5,MobileNet (MFCC),Tekukur,Tekukur,12
5,MobileNet (MFCC),Tekukur,Trucukan,0
5,MobileNet (MFCC),Trucukan,Cendet,1
5,MobileNet (MFCC),Trucukan,Gereja,0
5,MobileNet (MFCC),Trucukan,Kutilang,0
5,MobileNet (MFCC),Trucukan,Perkutut,0
5,MobileNet (MFCC),Trucukan,Tekukur,0
5,MobileNet (MFCC),Trucukan,Trucukan,18
6,MobileNet (Mel),Cendet,Cendet,17
6,MobileNet (Mel),Cendet,Gereja,1
6,MobileNet (Mel),Cendet,Kutilang,1
6,MobileNet (Mel),Cendet,Perkutut,0
6,MobileNet (Mel),Cendet,Tekukur,0
